DOI,Item Type,Publication Year,Author – Name,Author – Surname,Title,Published by
https://www.youtube.com/watch?v=e5uWLSQ71pc,Documentary,2021,Musa,Kaplan,"Devrim Yolcuları belgeseli – 68 Kuşağı, Filistin mücadelesini anlatıyor", Cumhuriyet TV
https://www.youtube.com/watch?v=Pu-ZyXk-J1s,Interview,2002,,,Bülent Uluer’in Filistin Günleri,32 Gün Arşivi
